product_id,brand,title,price,title,specs
12092252,HP ENTERPRISE,"DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS"", ""Null"" Price DG0300FARVV-"" ""New DG0300FARVV SAS",10.0,Description:2 x 300GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 507127-B21 Spare Part# 507284-001 Assembly Part# 518194-002 Model# DG0300FARVV,Specifications: Category Proliant HardDrive Sub-Category 10K Generation SAS Part Number DG0300FARVV-2Pack Products ID 463246 Type Hard Drive - Hot-Swap Capacity 300GB Interface Type Serial Attached SCSI Spindle Speed 10000RPM Ports Dual Port Speed 6GB/s
16637817,HP ENTERPRISE,"458418-B21 HP E5410 2.33GHz ML370 G5"", ""Null"" ""New 458418-B21 G5 Price 458418-B21",5.0,Description:Intel Xeon E5410 ML370 G5(2.33GHz/4-core/12MB/80W) CPQFull Processor Option KitPart Number(s)Option Part# 458418-B21,Specifications: Category Proliant Processor Sub-Category Xeon Generation G5 Part Number 458418-B21 Products ID 455542 Product Type Processor Upgrade Processor Type Intel Xeon Processor Core Quad-Core Processor Qty 1 Clock Speed 2.33GHz Bus Speed 1333MHz FSB L2 Cache 12MB Process Technology 45nm Processor Socket Socket J LGA-771 Thermal Design Power 80W
12347653,HP ENTERPRISE,"431786-B21 HP 120-GB 5.4K 2.5 SATA "" ""HP 431786-B21 Part# -431786-B21-",0.0,Description:5 x HPE 120GB 1.5G SATA 5.4K 2.5-inch SFF Hot-Plug Hard Drive In HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 431786-B21 Spare Part# 431908-001 Assembly Part# 443193-002 Model# FJ120C4981,Specifications: Manufacturer HP Category Hard Drive Sub-Category 5.4K Generation SATA Part Number HP 431786-B21-5Pack Product ID 460080_HP_HardDrives Type Hard Drive - Hot-Swap Form Factor 2.5 inches x 1/8H Capacity 120GB Interface Type Serial ATA-150 Data Transfer Rate 150MB/s Average Seek Time 15ms Spindle Speed 5400RPM
13036398,HP ENTERPRISE,"Null"" ""122633-001 - FAN CHASSIS 120MM 130",139.95,Description:Fan: Fan - Chassis 120MM 130CFM V/Speed 3BLPart Number(s) Manufacturer Part# 122633-001,Specifications: Category Fan Sub-Category Chassis Fan Generation 120mm Part Number 122633-001 Products ID 141458
14305797,DELL,"341-1237 Dell 36-GB U320 SCSI HP 15K w/9D988"", ""Null"" ""New 341-1237 w/9D988 Price 341-1237-",15.0,Description:5 x 36GB Ultra320 3.5-inch SCSI Hot-Plug 15K Dell Hard Drive in Dell 9D9883.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s)Manufacturer Part# 341-1237,Specifications: Category Dell HardDrive Sub-Category 15K Generation Ultra320 Part Number 341-1237-5Pack Products ID 458631 Capacity 36GB Interface Ultra320 SCSI Enclosure Internal Disk Size 5.75 inches x 4.0 inches x 1.0 inch Spindle Speed 15000RPM Data Transfer Rate 320MB/s Seek Time 4.9ms Bytes/Sec 512 Manufacturer Dell Application Server Storage Backward Compatability U2 and U3 Speeds Pre-Failure Warranty Yes
11636707,HP ENTERPRISE,"349237-B21 HP 80-GB 1.5G 7.2K 3.5 SATA HDD"" ""DL320 G5p 349237-B21 HDD Part# DL320 G5p-349237-B21",320.0,Description:80GB Hot-Plug Serial ATA (SATA) 1.5GB/s Hard Drive 7200 RPM 3.5-inch form factor 1.0 inch highIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SATA ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 349237-B21 Spare Part# 397551-001 Spare Part# 353042-001 Assembly Part# 332649-002 Assembly Part# 391333-002 Assembly Part# 391333-004 Assembly Part# 440300-001 Assembly Part# 407525-001 Assembly Part# 431688-001 Model# 6L080M0 Model# 6Y080M0 Model# FB080C4080 Model# ST3808110AS Model# WD800AAJS-70TDA0,Specifications: Manufacturer DL320 Category Hard Drive Sub-Category 7.2K Generation SATA Part Number DL320 349237-B21 Product ID 141941_DL320_HardDrives Type Hard Drive - Hot-Swap Form Factor 3.5 inches x 1/3H Capacity 80GB Interface Type Serial ATA-150 Connector 22-position Serial ATA (ATA) plug Data Transfer Rate 150MB/s Average Seek Time 9ms Spindle Speed 7200RPM
13913785,HP ENTERPRISE,"DG0146FAMWL HP 146-GB 6G 10K 2.5 DP SAS"", ""Null"" ""New DG0146FAMWL SAS Price DG0146FAMWL-",10.0,Description:10 x 146GB 2.5-inch Serial Attached SCSI (SAS)SFF 6G Dual Port Hot-Plug 10K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)For G1-G7 Proliant SAS ServersGenuine HPE serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s) Option Part# 507125-B21 Spare Part# 507283-001 Assembly Part# 507119-001 Model# DG0146FAMWL,Specifications: Category Proliant HardDrive Sub-Category 10K Generation SAS Part Number DG0146FAMWL-10Pack Products ID 463202 Type Hard Drive - Hot-Swap Capacity 146GB Interface Type Serial Attached SCSI Spindle Speed 10000RPM Ports Dual Port Speed 6GB/s
7461241,EQUALLOGIC,"ST31000524NS EQL 1TB 7.2K 3.5 SATA PS4000E"" ""Null",1401.55,Description:5 x Dell EqualLogic 1-TB 7.2K RPM 3G(3Gb/s) 3.5-inch Serial ATA (SATA)Hot-Plug Hard Drive in EqualLogicPS4000 / PS5000 PS6000 series3.5-inch Hot-Plug Tray (as pictured)Genuine serial number and firmwareGenuine Certified DriveCompatible Storage Arrays:Dell PS4000 PS4000EDell PS5000E PS5500EDell PS6000EDell PS6010EPart Number(s) Part# 9JW154-536 2HR85 9CA158-056 Seagate ST31000524NS-EQL,Specifications: Category Dell EqualLogic Drive Sub-Category 7.2K Generation SATA Part Number ST31000524NS-5Pack Products ID 486104 Hot Swap Tray Included Capacity 1TB Form Factor 3.5 inches Interface SATA Average Seek Time 8.5ms Rotational Speed 7200RPM Manufacturer Dell Pre-Failure Warranty Yes Cache 32MB
17448760,HP ENTERPRISE,"345021-B21 BL20P G2 Xeon 3.2GHz 1GB (2P"", ""Null"" Price 345021-B21"" (2P 345021-B21",20.0,Description: Proliant BL20P G2 XEON3.2G 1M (2P) FC MEZZ BLADEHewlett-Packard Part# 345021-B21,"Specifications: Category Proliant Server Sub-Category BL20 Generation G2 Part Number 345021-B21 Products ID 15416 Form Factor Blade Processor Xeon 3.2 GHz Processors Qty 2 Installed Memory 1 GB (DDR SDRAM) Networking Type Network Adapter Data Link Protocol Ethernet, Fast Ethernet,Gigabit Ethernet Installed L2 Cache Memory 2 MB"
17408915,HP ENTERPRISE,"Null"" ""461826-B21 HP 2GB PC5300 (2x1GB) Kit",150.74,Description:Genuine HPE 2GB FBD PC2-5300 (2x1GB)Low Power Single Rank Memory KitPart Number(s) Option Part# 461826-B21,Specifications: Category Proliant Memory Sub-Category Genuine HP Memory Generation PC2-5300 Part Number 461826-B21 Products ID 454503 Storage Capacity 2GB (2 x 1GB) Upgrade Type System Specific Technology DDR II SDRAM Memory Speed 667MHz (PC2-5300) Rank Single Note Low Power Kit Application Server Memory Server Model HP Proliant Compatibility HP Proliant Servers Manufacturer Hewlett-Packard HP Serial Number Yes HP Logo Yes Guaranteed Genuine HP Yes 461826-B21 Compatible Servers: BL460c G1 BL480c BL680c G5 DL140 G3 DL160 G5 DL160 G5p DL360 G5 DL380 G5 DL580 G5 ML350 G5 ML370 G5
